ResponseId,Policy_politics,Policy_complexity,Emotion,Video_DO,Policy_DO,Importance,New_legislation,Vote_policy,Good_solution,Reasonable_cost,Politically_possible,Reduce_problem,Solve_problem,Morally_justifiable,Policy_pleased,Interested,Distressed,Afraid,Guilty,Angry,Disgusted,Happy,Sad,Anxious,Calm,Surprised,Upset,Gender,Age,Ethnicity,Ethnicity_other,Political_orientation,Political_affiliation,Political_affiliation_other,anger_component_pca,fear_component_pca,neutral_component_pca,Anger_component,Fear_component,Neutral_component,SEC_economic_conservatism,SEC_social_conservatism,SEC_conservatism,Extraversion,Agreeableness,Conscientiousness,Emotional_stability,Openness_to_experiences,NFC,Cognitive_reappraisal,Expressive_suppression,Homelessness_j_component,Policy_j_component,Negative_affect,anger_comp_spss,fear_comp_spss,neutral_comp_spss
R_rpfIluGOwPuC6Fb,Conservative,Complex,Neutral,V1,S8,5,6,5,4,4,4,5,5,5,5,3,1,1,1,1,1,3,1,1,1,1,1,Male,26,Caucasian or White,,Moderate,Libertarian Party,,1.329095729,-1.222502977,-0.106498464,1,1,2.333333333,64,51.42857143,56.66666667,3,6.5,4.5,5.5,3.5,2.944444444,5.166666667,5.5,5.5,4.625,Positive,-0.75698,-0.37357,-0.7431
R_0pomvnFOZcAJaeZ,Conservative,Simple,Neutral,V2,S6,7,6,7,5,6,6,6,5,6,7,4,1,1,1,1,1,1,3,2,1,1,2,Male,29,Caucasian or White,,Moderately conservative,Democratic Party,,-0.312548707,-0.951111556,0.767364602,1.6,1.25,2,42,50,46.66666667,4.5,4,6.5,5,5.5,3.5,5.166666667,4.25,6.5,6,Positive,0.2932,-0.63199,-0.78091
R_1mIwQyZ1BQpy77c,Liberal,Simple,Neutral,V2,S1,7,7,7,7,7,7,7,7,7,7,5,1,1,1,1,1,5,1,1,5,1,1,Female,34,Asian American or Asian,,Moderately liberal,Democratic Party,,2.619465449,2.079128905,0.017895009,1,1,5,16,11.42857143,13.33333333,6.5,7,7,7,7,4.611111111,6.333333333,1,7,7,Positive,-0.37801,-0.35199,1.91547
R_27fApgqJvfSG5GY,Liberal,Simple,Neutral,V1,S2,6,5,5,5,5,5,5,4,4,5,3,1,1,1,1,1,2,1,2,3,2,1,Male,35,Caucasian or White,,Moderately conservative,Republican Party,,1.076860429,-0.844346787,-0.545525203,1,1.5,2.666666667,66,82.85714286,75.83333333,3.5,5.5,5.5,4,4,3.888888889,5.5,4.25,5.5,4.75,Positive,-0.82196,0.06557,-0.47872
R_aawfMwER3UMnNtf,Liberal,Simple,Neutral,V2,S1,7,7,5,5,6,5,5,4,5,5,4,1,1,1,1,2,4,1,1,5,1,1,Female,32,African American or Black,,Moderately liberal,Democratic Party,,2.044058762,1.127701166,0.425879837,1.2,1,4.333333333,44,72.85714286,60.83333333,3,6.5,6.5,5.5,5,3.722222222,5,2.75,7,5,Positive,-0.1884,-0.65017,1.10971
R_3kqceXNLRnwI5cu,Conservative,Complex,Neutral,V2,S8,7,6,3,2,4,3,4,1,3,3,4,1,1,1,1,1,2,1,1,4,1,1,Male,35,Caucasian or White,,Moderate,No party,,1.834796987,-0.10535673,0.579030154,1,1,3.333333333,84,60,70,3,4,6.5,5,5.5,4.277777778,5,2.25,6.5,2.875,Positive,-0.31344,-0.87251,0.14728
R_1H5euIXP60kjUwo,Conservative,Simple,Neutral,V2,S6,7,6,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,3,Female,45,Native American,,Extremely liberal,Democratic Party,,-1.905232507,-2.458518462,2.277090373,2.6,1,1,0,4.285714286,2.5,1,5,2,1,7,2.055555556,4.666666667,1.5,6.5,1,Positive,1.26717,-1.60739,-2.17243
R_1pXODb0G57Iq3Ea,Conservative,Simple,Anger,V3,S6,6,6,1,1,1,1,1,1,1,2,1,4,4,1,5,5,1,2,4,1,5,4,Female,27,Caucasian or White,,Extremely liberal,Democratic Party,,-7.193417074,-0.917211496,-1.778316725,3.4,4.25,1,54,14.28571429,30.83333333,2.5,6,6,4.5,5.5,3.722222222,5.166666667,3,6,1.125,Negative,1.19226,2.88047,-1.59509
R_AmupU6NfXY81fNf,Liberal,Simple,Neutral,V2,S1,6,5,3,2,3,2,2,2,2,3,4,1,1,1,1,1,3,1,2,3,1,1,Female,26,Caucasian or White,,Moderate,No party,,1.516275228,0.034947456,-0.145013485,1,1.25,3.333333333,70,74.28571429,72.5,2,7,6.5,5.5,5,4.111111111,5.5,2.75,5.5,2.375,Positive,-0.55923,-0.23056,0.23154
R_9Hy0pHeLifjhptL,Conservative,Complex,Neutral,V2,S8,6,6,2,2,3,4,2,2,2,2,4,1,1,1,1,1,4,1,1,4,1,1,Female,54,Caucasian or White,,Moderate,No party,,2.173095541,0.745267047,0.05711111,1,1,4,74,41.42857143,55,5,6.5,6.5,6.5,6.5,4.388888889,3,2.25,6,2.375,Positive,-0.50842,-0.44599,0.84879
R_3R3AQfndoB2xO8r,Conservative,Simple,Anger,V3,S7,7,4,5,5,6,6,7,6,6,6,2,3,3,1,1,2,4,2,4,3,2,2,Female,20,Caucasian or White,,Extremely liberal,Democratic Party,,-1.809592794,0.128051475,-2.451045955,1.6,3,3,32,54.28571429,45,4.5,6,4.5,1.5,5.5,3.5,4.166666667,2.5,5.5,5.875,Negative,-0.67214,2.29665,-0.07345
R_2WMwlNlKXxNWePE,Conservative,Simple,Neutral,V1,S6,6,4,3,3,4,3,3,2,4,5,3,1,1,2,2,1,3,2,2,3,2,1,Male,29,Caucasian or White,,Moderately conservative,Republican Party,,0.152781682,0.115947711,0.056040726,1.6,1.5,3,68,57.14285714,61.66666667,2.5,3,5,2,5.5,3.888888889,5.166666667,4,5,3.375,Positive,0.00564,-0.06312,0.10614
R_1HnJUboeZ7C4tmO,Conservative,Simple,Anger,V3,S6,6,6,6,6,5,7,5,5,6,6,3,1,1,2,2,1,1,1,1,3,1,3,Male,27,Caucasian or White,,Moderately conservative,Republican Party,,-0.104294823,-0.81993304,1.586019588,1.8,1,2.333333333,78,80,79.16666667,4,4,6,6,4,2.944444444,5.333333333,5.25,6,5.75,Negative,0.68447,-1.2872,-0.67766
R_10H7DYX7gwdlUTz,Liberal,Simple,Anger,V3,S3,7,6,4,4,3,4,4,2,5,4,4,2,1,1,1,1,3,1,1,3,1,1,Male,45,Caucasian or White,,Moderately liberal,Democratic Party,,1.452560174,0.043176202,-0.022795765,1,1.25,3.333333333,46,74.28571429,62.5,2,6,6,5,3,1.611111111,4.666666667,3,6.5,3.75,Negative,-0.47264,-0.30819,0.22582
R_5oNmwD6X4vDwKU9,Conservative,Complex,Anger,V3,S8,7,6,1,1,1,1,1,1,1,1,4,2,2,2,4,4,1,4,3,2,2,4,Male,35,Caucasian or White,,Extremely liberal,Democratic Party,,-4.846499152,0.890702246,2.012419116,3.6,2.25,2.333333333,30,28.57142857,29.16666667,3.5,5,5.5,3.5,6,3.444444444,4,4.25,6.5,1,Negative,2.82241,-0.31922,-0.02793
R_3lADybUIqDlNBrA,Liberal,Simple,Anger,V3,S3,6,6,5,6,4,4,5,4,7,7,3,2,2,1,1,1,3,2,2,2,1,1,Female,31,Other:,mixed race,Moderately liberal,Democratic Party,,0.129222113,-0.557047315,-0.742645025,1.2,1.75,2.666666667,34,42.85714286,39.16666667,6,5,5,5,6,3.222222222,6.166666667,3.5,6,5.25,Negative,-0.55498,0.46745,-0.38198
R_0kSFW0vFDK1m1XP,Conservative,Simple,Neutral,V2,S6,6,4,2,1,6,3,2,1,4,1,3,1,1,1,1,2,4,2,4,2,3,1,Male,26,Caucasian or White,,Moderately conservative,Republican Party,,-0.238339125,0.138837821,-1.949720101,1.4,2.25,3,52,77.14285714,66.66666667,1,6,5,4,1.5,1.777777778,3.333333333,5.5,5,2.5,Positive,-0.91531,1.55785,0.12873
R_1JIqSg9pFt6adLe,Liberal,Simple,Anger,V3,S2,6,6,5,5,5,6,4,4,6,5,4,1,1,1,1,1,4,1,1,5,2,1,Male,40,Hispanic or Latinx,,Extremely conservative,Republican Party,,2.180050649,1.199834662,-0.38261671,1,1.25,4.333333333,94,92.85714286,93.33333333,2.5,6,6,6,4,3.944444444,5.833333333,5.5,6,5,Negative,-0.64074,-0.05586,1.20521
R_3dRGh6pN54RvRgJ,Liberal,Simple,Anger,V3,S2,7,7,7,7,7,7,7,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,Female,25,Caucasian or White,,Extremely liberal,No party,,0.833985817,-3.256318525,0.174759414,1,1,1,16,0,6.666666667,1,7,7,3.5,7,2.222222222,4.5,7,7,6.625,Negative,-0.89965,-0.72799,-2.35125
R_bpEgM6YPH7goupX,Conservative,Complex,Anger,V3,S8,6,4,5,5,5,5,5,4,5,5,4,1,1,1,1,1,2,1,1,2,1,1,Female,61,Caucasian or White,,Moderate,Other:,independent,1.437167083,-0.739264897,0.376204479,1,1,2.666666667,98,88.57142857,92.5,3,5.5,5.5,4.5,5.5,3.055555556,3,4.5,5,4.875,Negative,-0.43159,-0.7061,-0.37794
R_1FmGwNZ96SfJhHb,Conservative,Simple,Anger,V3,S7,7,6,2,2,2,2,2,2,2,2,4,1,1,1,1,1,3,1,1,4,1,1,Female,36,Caucasian or White,,Extremely liberal,Democratic Party,,2.003946264,0.319955158,0.318070632,1,1,3.666666667,28,15.71428571,20.83333333,1.5,2.5,7,5,4,4.222222222,4,5.75,6.5,2,Negative,-0.41093,-0.65925,0.49803
R_2dMbORURjKpZhmA,Conservative,Simple,Neutral,V2,S5,7,4,1,1,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,Male,31,Other:,Mixed,Extremely liberal,No party,,0.903763989,-2.556930323,0.644940979,1.2,1,1.666666667,36,8.571428571,20,1.5,3.5,4,5,5.5,3.111111111,1,4.5,5.5,1.75,Positive,-0.52055,-1.01538,-1.82772
R_ZduFOwlG4s4OiRj,Liberal,Simple,Neutral,V2,S3,6,6,6,6,6,6,5,4,5,6,4,1,1,1,1,1,3,1,1,5,1,1,Male,42,Caucasian or White,,Moderately liberal,Democratic Party,,2.202761215,0.636909242,0.41948347,1,1,4,46,58.57142857,53.33333333,7,7,7,7,7,4.777777778,6,2.75,6,5.5,Positive,-0.35186,-0.74246,0.76064
R_3kvN31Ick4VtAjv,Conservative,Simple,Fear,V6,S7,7,4,1,1,1,5,1,1,1,1,5,1,1,1,1,1,2,1,1,3,1,1,Male,38,Caucasian or White,,Extremely liberal,Democratic Party,,1.714387714,0.169285071,0.5979479,1,1,3.333333333,48,24.28571429,34.16666667,1,2,7,4,4,3.833333333,5,7,5.5,1.5,Negative,-0.20369,-0.82536,0.33799
R_1mCYdaU2ngZvJiz,Liberal,Complex,Anger,V3,S4,7,7,6,5,5,4,6,5,7,7,3,2,2,1,1,3,2,3,4,1,3,3,Male,21,Caucasian or White,,Moderately liberal,No party,,-2.969890139,-0.379873283,-1.316233934,2.2,2.75,2,34,32.85714286,33.33333333,2,5,2.5,3,6.5,3.666666667,4.833333333,5.5,7,5.625,Negative,0.18652,1.63278,-0.64286
R_3iwKU7H8yo80wEf,Liberal,Simple,Neutral,V1,S2,7,7,7,7,7,7,7,7,7,7,3,1,1,1,1,1,3,1,1,5,1,1,Female,54,African American or Black,,Moderately liberal,Democratic Party,,2.124355536,0.045313356,0.299152886,1,1,3.666666667,40,71.42857143,58.33333333,7,7,3.5,7,7,3.944444444,6.5,1.75,7,7,Positive,-0.52068,-0.7064,0.30733
R_339nlhiC2DoJ4HS,Conservative,Complex,Neutral,V1,S8,7,6,3,3,3,1,2,1,3,3,4,2,1,2,1,2,1,2,2,4,1,1,Female,45,Caucasian or White,,Moderate,No party,,-0.063889321,0.030406055,1.042495813,1.6,1.5,3,54,65.71428571,60.83333333,1,6,6,5.5,3,4.277777778,5.666666667,2.75,6.5,2.375,Positive,0.57453,-0.77637,-0.01525
R_2zdyj1STE37Azvb,Liberal,Simple,Fear,V5,S2,7,7,7,7,7,7,7,7,7,7,4,2,2,1,3,3,2,2,1,3,1,4,Female,59,Caucasian or White,,Extremely liberal,Green Party,,-1.930623742,0.648470696,1.771209995,2.6,1.5,3,10,24.28571429,18.33333333,5.5,6.5,6,5.5,6.5,2.888888889,4.333333333,2.25,7,7,Negative,1.6982,-0.82976,0.1828
R_2Cm2Ql9vzvAmYcc,Liberal,Simple,Neutral,V1,S2,7,5,5,4,4,5,4,2,4,5,2,1,1,1,1,1,4,1,1,3,1,1,Male,49,Caucasian or White,,Moderate,No party,,1.81746923,-0.754878807,-0.284962894,1,1,3,86,90,88.33333333,1,4,4.5,4,4,4.333333333,5.333333333,4.25,6,4.125,Positive,-0.90515,-0.29067,-0.32045
R_W84fo38end7BD9L,Liberal,Complex,Anger,V3,S4,6,6,6,6,3,3,5,5,5,6,3,1,1,1,1,1,1,1,1,2,2,1,Male,53,Caucasian or White,,Moderate,Republican Party,,0.997752284,-1.61855914,-0.024307239,1,1.25,2,82,75.71428571,78.33333333,1,6,6,6,2.5,2.944444444,5,5.75,6,4.875,Negative,-0.69432,-0.40997,-1.08819
R_3MbxLIpSwhTxSuK,Liberal,Simple,Anger,V3,S1,6,4,1,1,1,1,1,1,3,2,4,4,3,4,5,5,1,4,5,1,5,5,Female,61,Caucasian or White,,Moderately liberal,Democratic Party,,-9.148945654,2.016977625,0.127019658,4.6,4.25,2,24,10,15.83333333,1.5,5.5,6.5,1,4.5,1.5,4.333333333,1.5,5,1.375,Negative,3.47528,2.23825,0.30511
R_2Ei8hCj9dczhPvh,Conservative,Simple,Neutral,V1,S5,6,6,6,6,6,7,5,5,7,7,2,1,1,1,1,1,1,1,1,1,1,1,Female,42,Caucasian or White,,Moderately conservative,Republican Party,,0.912391496,-2.66472264,0.295089997,1,1,1.333333333,54,92.85714286,76.66666667,5.5,3,7,4,6.5,2.111111111,5.833333333,1.5,6,6.125,Positive,-0.73083,-0.76404,-1.89793
R_12fLXnInJ0lAaHE,Conservative,Simple,Anger,V3,S6,5,4,5,5,3,5,5,4,5,4,4,2,2,2,2,2,3,2,3,3,2,2,Male,24,Caucasian or White,,Moderately conservative,Republican Party,,-1.516470168,1.072412387,-0.349340415,2,2.25,3.333333333,46,47.14285714,46.66666667,4,3.5,4.5,4.5,5,3.277777778,3.833333333,4.25,4.5,4.5,Negative,0.54517,0.7451,0.61801
R_6Jv0LqAt8n7L4jv,Liberal,Simple,Fear,V6,S1,7,7,2,2,2,7,2,1,6,3,5,1,1,1,1,1,1,1,1,4,1,1,Male,55,Caucasian or White,,Moderately liberal,Democratic Party,,1.744053389,0.060927266,0.96032026,1,1,3.333333333,30,31.42857143,30.83333333,3,6.5,6.5,6,5,4.444444444,6,3.25,7,3.125,Negative,-0.04712,-1.12183,0.24984
R_BypCWsxcxogV7Et,Conservative,Simple,Neutral,V2,S5,4,3,2,4,4,4,5,5,3,4,2,3,1,1,1,1,3,1,1,3,3,1,Female,31,Caucasian or White,,Moderately liberal,Democratic Party,,0.559457991,-0.824613379,-1.585191806,1,2,2.666666667,26,1.428571429,11.66666667,3.5,4.5,4,4.5,4,2.888888889,3.666666667,4.25,3.5,3.875,Positive,-1.19571,0.97845,-0.5028
R_2cqhMKickkdzbpU,Liberal,Simple,Fear,V5,S3,7,7,7,7,7,7,7,7,7,7,4,1,1,1,1,1,3,1,1,4,1,1,Male,38,Caucasian or White,,Moderately liberal,Republican Party,,2.003946264,0.319955158,0.318070632,1,1,3.666666667,46,47.14285714,46.66666667,7,7,6.5,5,6.5,4.5,6,2.25,7,7,Negative,-0.41093,-0.65925,0.49803
R_324RgEYd44NFz97,Conservative,Simple,Neutral,V1,S6,7,7,2,2,1,2,2,1,2,1,4,1,1,1,2,2,1,2,1,3,1,2,Female,42,Caucasian or White,,Moderately liberal,Democratic Party,,0.070375019,-0.354688842,1.709203501,1.8,1,2.666666667,48,22.85714286,33.33333333,1.5,7,6.5,4.5,6,4.055555556,4.666666667,5,7,1.625,Positive,0.79564,-1.36307,-0.307
R_3jVx0IAGfW5EswI,Liberal,Simple,Neutral,V2,S1,7,6,7,7,6,4,6,5,7,7,4,2,1,1,1,1,3,1,2,3,1,1,Male,32,Caucasian or White,,Moderately liberal,Democratic Party,,1.16370409,0.075122582,-0.384467044,1,1.5,3.333333333,40,34.28571429,36.66666667,3,5.5,5.5,5.5,5,3.5,4.833333333,4.25,6.5,6.125,Positive,-0.56185,0.0373,0.22193
R_2B4GPaLXlY3m0Uo,Liberal,Simple,Fear,V5,S2,6,6,2,1,1,2,1,1,1,1,3,1,1,1,1,1,3,2,1,3,1,1,Female,61,Caucasian or White,,Extremely conservative,Republican Party,,1.369466217,-0.406066225,0.312591522,1.2,1,3,90,92.85714286,91.66666667,2.5,6.5,6,5.5,5.5,3.944444444,5,2,6,1.25,Negative,-0.36924,-0.60077,-0.13371
R_3CTnpCyzG6RCpra,Conservative,Simple,Fear,V5,S5,6,6,4,5,4,5,3,1,5,5,4,2,1,1,1,1,4,1,1,5,1,1,Female,28,Caucasian or White,,Moderately conservative,Republican Party,,2.019339354,1.102396257,-0.080929612,1,1.25,4.333333333,78,41.42857143,56.66666667,5.5,5.5,3.5,3,6.5,4.333333333,5.5,1.25,6,4,Negative,-0.45198,-0.26134,1.10179
R_1mJcsVVA25DWoec,Conservative,Simple,Fear,V5,S6,7,7,1,1,1,1,1,1,1,1,4,2,1,1,1,1,4,1,1,4,1,1,Female,55,Caucasian or White,,Moderately liberal,Democratic Party,,1.820524403,0.785442174,-0.18234245,1,1.25,4,30,30,30,3.5,6,7,7,5,1.222222222,6.666666667,3.75,7,1,Negative,-0.51105,-0.17813,0.83918
R_3a6raHl8o2rtVRv,Liberal,Simple,Neutral,V2,S2,7,6,7,5,4,5,4,4,6,5,5,1,1,1,1,1,4,1,2,2,1,1,Female,50,Caucasian or White,,Moderate,No party,,1.565015233,0.734901146,-0.387055261,1,1.25,3.666666667,54,71.42857143,64.16666667,4,5,5,5.5,7,4.111111111,6.833333333,3.75,6.5,5,Positive,-0.54697,0.02985,0.77301
