ResponseId,Policy_politics,Policy_complexity,Emotion,Video_DO,Policy_DO,Importance,New_legislation,Vote_policy,Good_solution,Reasonable_cost,Politically_possible,Reduce_problem,Solve_problem,Morally_justifiable,Policy_pleased,Interested,Distressed,Afraid,Guilty,Angry,Disgusted,Happy,Sad,Anxious,Calm,Surprised,Upset,Gender,Age,Ethnicity,Ethnicity_other,Political_orientation,Political_affiliation,Political_affiliation_other,anger_component_pca,fear_component_pca,neutral_component_pca,Anger_component,Fear_component,Neutral_component,SEC_economic_conservatism,SEC_social_conservatism,SEC_conservatism,Extraversion,Agreeableness,Conscientiousness,Emotional_stability,Openness_to_experiences,NFC,Cognitive_reappraisal,Expressive_suppression,Homelessness_j_component,Policy_j_component,Negative_affect,anger_comp_spss,fear_comp_spss,neutral_comp_spss
R_2WNFNSKAD0RteBP,Liberal,Complex,Fear,V6,S4,7,3,2,2,1,3,2,2,4,1,1,1,1,1,1,1,1,1,1,2,1,1,Male,34,Caucasian or White,,Moderate,No party,,1.032800768,-2.939364442,0.276172252,1,1,1.333333333,58,45.71428571,50.83333333,5,3,5.5,5.5,5,3.277777778,5,4.5,5,2.125,Negative,-0.84058,-0.81119,-2.08864
R_12DBU2tP5Wm3gu4,Liberal,Simple,Neutral,V2,S1,6,6,6,6,6,6,7,7,7,7,4,1,1,1,1,1,4,1,1,4,2,1,Male,56,Caucasian or White,,Moderately conservative,Republican Party,,1.981235698,0.882880579,-0.484029548,1,1.25,4,66,75.71428571,71.66666667,4.5,6.5,6.5,6,5.5,3.5,5.666666667,2.5,6,6.5,Positive,-0.69982,0.02735,0.94261
R_1K25k8UYRV2nmrn,Conservative,Simple,Fear,V5,S5,5,6,3,3,2,5,5,6,5,6,4,1,2,1,1,2,2,1,1,4,4,2,Female,47,Caucasian or White,,Moderately liberal,Democratic Party,,0.15298715,0.600231148,-0.968978704,1.4,2,3.333333333,44,21.42857143,30.83333333,4,5,4,2.5,4,3.222222222,3.5,2.5,5.5,4.375,Negative,-0.42508,0.77842,0.50077
R_3KTT3LU6oYx5bEZ,Liberal,Simple,Fear,V5,S3,5,5,2,4,4,4,2,2,3,3,4,1,1,1,3,1,1,2,1,2,1,1,Female,64,Caucasian or White,,Extremely conservative,Republican Party,,0.244818498,-0.759029246,1.505929045,1.6,1,2.333333333,94,100,97.5,5,6.5,7,7,7,4.222222222,5.5,1.5,5,3,Negative,0.54291,-1.29811,-0.58314
R_24MdGreuKHZn1L4,Conservative,Simple,Anger,V3,S5,7,7,4,4,4,5,5,4,5,5,4,1,2,1,2,2,3,2,2,3,1,3,Female,62,Caucasian or White,,Moderately liberal,Democratic Party,,-0.658561088,0.755148564,0.633670402,2,1.5,3.333333333,60,70,65.83333333,4,5.5,6.5,6,7,2.277777778,5.833333333,2.5,7,4.5,Negative,0.71304,-0.23915,0.46437
R_AyXBH8d8PwIRZeN,Conservative,Simple,Anger,V3,S6,6,6,5,5,4,2,5,4,4,5,4,1,1,1,1,2,3,1,1,4,2,1,Male,59,Caucasian or White,,Moderately liberal,No party,,1.48423469,0.523048726,0.044285864,1.2,1.25,3.666666667,82,80,80.83333333,5.5,6.5,6,6.5,5.5,3.944444444,5,3.75,6,4.25,Negative,-0.34138,-0.30689,0.59016
R_2QAIMhsge88hax4,Liberal,Simple,Neutral,V1,S2,5,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2,4,2,1,3,2,2,Male,31,Hispanic or Latinx,,Extremely conservative,Other:,Anarcho Capitalism,-0.397584949,0.547614724,-0.214053425,1.8,1.75,3.333333333,92,42.85714286,63.33333333,1.5,3,5.5,5.5,5,3.722222222,4.166666667,4,3,1,Positive,0.13769,0.32182,0.36655
R_1q4F33EJNFhPC6a,Conservative,Simple,Fear,V5,S6,7,5,2,2,2,2,4,3,5,1,5,3,2,1,1,1,3,2,4,1,3,2,Female,38,Caucasian or White,,Extremely liberal,Democratic Party,,-1.605161118,0.821901085,-2.487718035,1.4,3,3,36,12.85714286,22.5,1,3.5,7,4,2,4.277777778,5.333333333,5.25,6,2.625,Negative,-0.60385,2.36428,0.4782
R_2YVp7UVv0Y0UJrI,Conservative,Complex,Fear,V5,S8,7,6,1,1,4,1,2,1,1,1,4,2,2,3,2,2,1,3,2,1,3,2,Female,49,Caucasian or White,,Moderately liberal,No party,,-2.915660463,0.117020725,0.326558662,2.4,2.25,2,66,84.28571429,76.66666667,2,7,5,5.5,4,4.222222222,5,2.25,6.5,1.5,Negative,1.14119,0.42987,-0.3076
R_1Qc1F2MBX2gTlz0,Liberal,Simple,Anger,V3,S2,4,4,4,4,2,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,Male,37,Caucasian or White,,Moderate,No party,,0.833985817,-3.256318525,0.174759414,1,1,1,76,50,60.83333333,1.5,5,4,5,5.5,1.222222222,4.166666667,4.5,4,3.375,Negative,-0.89965,-0.72799,-2.35125
R_2BzFuHBZnrBfiJ6,Conservative,Simple,Fear,V5,S7,7,6,6,6,6,6,6,5,6,6,4,3,1,1,1,1,2,1,4,2,2,2,Female,33,African American or Black,,Moderately liberal,Democratic Party,,-0.704779933,-0.292046209,-1.56810104,1.2,2.5,2.666666667,46,74.28571429,62.5,4.5,6.5,6.5,5.5,7,2.111111111,5.333333333,5.5,6.5,5.875,Negative,-0.65949,1.31965,-0.26909
R_21n7C8vivVmeMUS,Liberal,Simple,Fear,V5,S2,7,7,7,7,7,7,7,5,7,7,4,3,1,3,3,3,1,4,1,3,1,4,Female,55,Caucasian or White,,Moderate,No party,,-3.572858383,1.016428711,3.217965001,3.4,1.5,2.666666667,44,42.85714286,43.33333333,2.5,7,7,7,5,4,6.333333333,3.25,7,6.75,Negative,3.07062,-1.51276,0.20143
R_2eQZMaErT2EAOK4,Liberal,Complex,Anger,V4,S4,7,6,7,6,4,1,7,4,7,7,5,1,1,1,1,1,3,1,1,5,1,1,Female,34,Hispanic or Latinx,,Extremely liberal,No party,,2.281166895,1.228505127,0.539814053,1,1,4.333333333,14,21.42857143,18.33333333,2,5.5,7,7,7,4.944444444,5.166666667,4,6.5,5.375,Negative,-0.18303,-0.77851,1.21396
R_27HELy8TKcs5EXA,Conservative,Simple,Neutral,V1,S5,6,5,4,5,4,5,5,4,5,4,4,2,4,1,3,3,4,2,3,3,1,3,Female,60,Caucasian or White,,Moderately conservative,Republican Party,,-2.59166457,1.617274445,-0.340205446,2.4,2.5,3.666666667,64,78.57142857,72.5,1.5,6,6,6,6,2.944444444,6,3.5,5.5,4.5,Positive,1.01874,1.05082,0.88628
R_3J97q8LIABpDTo4,Conservative,Simple,Anger,V3,S5,6,6,6,6,6,2,6,6,6,6,5,1,1,1,1,1,4,1,1,4,1,1,Female,47,Caucasian or White,,Moderate,Democratic Party,,2.25150122,1.336862933,0.177441693,1,1,4.333333333,34,81.42857143,61.66666667,4,7,7,6.5,6.5,2.944444444,6,1.5,6,5.5,Negative,-0.3396,-0.48204,1.30211
R_12r7mAyq5LaDP2u,Liberal,Simple,Fear,V5,S3,7,7,7,7,7,7,7,7,7,7,5,1,1,1,1,1,4,1,2,2,3,1,Female,23,African American or Black,,Extremely liberal,No party,,1.181295547,1.01012821,-1.469336576,1,1.75,3.666666667,16,0,6.666666667,1.5,5,4,2.5,3.5,3.166666667,4.666666667,4,7,7,Negative,-0.92976,0.97652,0.96063
R_2ampzhhJTvcv1Uo,Conservative,Simple,Fear,V5,S7,7,6,1,1,4,4,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,Female,28,Other:,African American and Hispanic,Moderately liberal,Democratic Party,,0.990797175,-2.073126755,0.415420581,1,1,1.666666667,44,54.28571429,50,1.5,6,7,6.5,6,4.555555556,5.833333333,6,6.5,2.25,Negative,-0.562,-0.8001,-1.44461
R_UEndSsdYcNLUCE9,Conservative,Simple,Neutral,V2,S6,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,Male,28,Caucasian or White,,Moderate,Democratic Party,,0.847896034,-2.347183295,-0.704696226,1,1.5,1.666666667,50,2.857142857,22.5,3.5,3.5,5.5,4,5,5,1.333333333,3.75,6.5,1,Positive,-1.1643,0.05227,-1.6384
R_dnGg1oyBweTfUIx,Liberal,Complex,Anger,V4,S4,7,7,7,6,7,6,6,3,7,7,4,2,1,1,1,1,2,2,2,1,1,1,Female,55,Caucasian or White,,Moderately liberal,Democratic Party,,0.239665494,-0.801568888,-0.110068886,1.2,1.5,2.333333333,46,64.28571429,56.66666667,3,6,5.5,6,5.5,4.444444444,5.333333333,5.75,7,6.125,Negative,-0.31293,-0.07033,-0.56986
R_2BaJx3tGs93zmk6,Conservative,Simple,Neutral,V1,S6,7,7,7,7,5,4,7,7,7,7,5,1,1,1,1,1,5,1,1,5,3,1,Male,36,Caucasian or White,,Extremely conservative,Republican Party,,2.235745763,2.354355968,-1.064386307,1,1.5,5,82,92.85714286,88.33333333,2.5,5.5,5.5,6.5,4.5,4,6.666666667,3.5,7,6.375,Positive,-0.76081,0.59468,2.1031
R_xbIwZ3u7tX4DyqB,Liberal,Complex,Anger,V4,S4,7,6,5,5,6,6,5,5,6,6,2,3,1,1,1,2,1,1,3,1,1,2,Male,30,Caucasian or White,,Moderately liberal,No party,,-1.076691325,-2.321583828,-0.479047695,1.4,2,1.333333333,64,30,44.16666667,3,4.5,6.5,2,7,3.944444444,5.166666667,1.75,6.5,5.5,Negative,-0.41716,0.32191,-1.8807
R_12umdllNkVAPg9A,Conservative,Complex,Anger,V4,S8,6,6,2,2,2,2,2,2,2,2,4,1,1,1,1,1,2,1,2,2,4,1,Female,58,Caucasian or White,,Moderately liberal,Democratic Party,,0.572731471,-0.294477922,-1.608888773,1,2,2.666666667,20,35.71428571,29.16666667,6,6,6,6,6,4.388888889,6,2.25,6,2,Negative,-1.095,1.05939,-0.10038
R_1l4z04cn6Sf7SpD,Liberal,Simple,Fear,V6,S1,5,5,2,2,3,6,4,2,6,3,3,1,1,1,1,1,2,1,2,2,1,1,Male,31,Caucasian or White,,Moderate,No party,,1.06990532,-1.298914402,-0.105797383,1,1.25,2.333333333,60,54.28571429,56.66666667,2.5,4,4,5.5,2.5,1.777777778,5.166666667,3.75,5,3.5,Negative,-0.68964,-0.32456,-0.83514
R_27jPQeQADAmjqyE,Conservative,Simple,Anger,V3,S5,7,7,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,3,1,3,1,1,Male,66,Caucasian or White,,Moderately liberal,Democratic Party,,0.321337109,-1.033986291,0.811321318,1.4,1.25,2.333333333,32,47.14285714,40.83333333,4.5,6.5,4,7,7,4.888888889,6,3.25,7,1.125,Negative,0.0927,-0.82021,-0.76065
R_1zAj1R6Ndoje63f,Liberal,Simple,Fear,V6,S1,5,5,4,3,3,3,3,3,4,4,2,3,3,1,3,1,2,1,3,2,3,1,Male,35,Asian American or Asian,,Moderate,Democratic Party,,-1.852162158,-1.092264664,-2.20188469,1.4,3,2,50,47.14285714,48.33333333,3,4.5,5,5,5,3.111111111,4.666666667,4.25,5,3.375,Negative,-0.79793,1.96473,-1.00691
R_AFibruwMFe6WuVb,Conservative,Simple,Fear,V6,S6,6,6,2,2,4,2,2,1,2,1,3,4,3,1,3,3,1,4,5,1,3,4,Male,68,Caucasian or White,,Moderate,Democratic Party,,-5.934615661,-0.06007375,-1.219030542,3,3.75,1.666666667,34,58.57142857,48.33333333,5.5,4,2.5,3.5,6,3.388888889,5.333333333,3,6,2,Negative,1.26815,2.27387,-0.79744
R_3sziMOYEHJ5NGt4,Conservative,Complex,Fear,V6,S8,7,5,6,5,5,3,6,1,5,5,4,3,1,1,1,1,3,2,3,3,2,2,Male,43,Caucasian or White,,Moderately liberal,Democratic Party,,-0.405219037,0.600801968,-1.149712135,1.4,2.25,3.333333333,74,97.14285714,87.5,1,6,5.5,1.5,4,1.888888889,3,6.5,6,4.5,Negative,-0.3391,1.04344,0.43234
R_5py7VDDTrO6Vx9n,Conservative,Simple,Anger,V4,S5,6,6,2,1,3,6,1,1,5,4,1,1,1,1,1,1,1,1,1,3,1,1,Female,44,Asian American or Asian,,Moderately liberal,No party,,1.23161572,-2.622410359,0.377585089,1,1,1.666666667,52,70,62.5,3.5,1,7,6.5,7,4.388888889,6.333333333,4.25,6,2.875,Negative,-0.7815,-0.8944,-1.82603
R_1I4OnGIfz56R9SX,Liberal,Complex,Neutral,V1,S4,7,6,4,4,4,5,4,4,5,5,4,3,3,1,2,1,3,3,3,3,1,2,Female,40,Caucasian or White,,Moderately liberal,Democratic Party,,-1.703592416,0.944929471,-0.771454542,1.8,2.5,3.333333333,46,44.28571429,45,1,4,7,5,3.5,3.222222222,3.333333333,5,6.5,4.375,Positive,0.35597,1.09367,0.50905
R_1JUwWdEPdi7o1aa,Liberal,Complex,Anger,V3,S4,7,7,7,7,6,7,6,6,7,7,5,1,1,1,1,1,3,1,1,5,1,1,Female,45,African American or Black,,Moderate,No party,,2.281166895,1.228505127,0.539814053,1,1,4.333333333,38,74.28571429,59.16666667,7,7,7,7,6.5,3.055555556,7,2,7,6.625,Negative,-0.18303,-0.77851,1.21396
R_cTlmovdqxkw30Ih,Liberal,Simple,Fear,V5,S1,7,6,6,4,5,4,4,3,5,5,4,1,1,1,1,1,3,1,1,4,2,1,Female,28,Caucasian or White,,Moderately liberal,Democratic Party,,1.812086421,0.45756869,-0.223070025,1,1.25,3.666666667,58,41.42857143,48.33333333,6.5,6,5.5,5.5,6,4.055555556,4.333333333,1.5,6.5,4.5,Negative,-0.60233,-0.18592,0.59185
R_2w5MBNAQu4ydwPF,Conservative,Simple,Anger,V4,S7,6,3,4,4,5,2,4,3,5,4,3,4,2,1,2,4,1,1,3,1,3,2,Male,40,Caucasian or White,,Moderately conservative,Republican Party,,-3.123251807,-1.078264719,-1.172188712,2,3,1.666666667,88,62.85714286,73.33333333,4.5,4,7,5.5,5.5,2.888888889,3.833333333,5,4.5,3.875,Negative,0.15705,1.4711,-1.19423
R_3JIfyHuqn5jFBMI,Conservative,Simple,Anger,V4,S7,7,5,5,5,4,4,3,3,4,4,3,3,2,2,2,2,2,2,2,2,3,2,Male,33,Asian American or Asian,,Moderate,Democratic Party,,-2.218414974,-0.115607193,-0.729047252,2,2.5,2.333333333,54,65.71428571,60.83333333,3,4,2.5,3,3,3.055555556,3.833333333,5.25,6,4,Negative,0.30995,1.0468,-0.36058
R_SPKmr8ed2uzSkX7,Conservative,Simple,Fear,V5,S5,5,6,6,6,4,4,4,3,5,6,4,2,2,1,1,1,2,2,4,2,3,3,Female,36,Caucasian or White,,Moderately conservative,Republican Party,,-1.679706631,0.21518803,-1.845466603,1.6,2.75,2.666666667,80,81.42857143,80.83333333,2.5,6,6,4.5,3.5,1.777777778,5,4.75,5.5,4.75,Negative,-0.37707,1.81625,-0.00775
R_Abac9v8CRTPzsyZ,Liberal,Simple,Fear,V6,S3,2,3,4,2,3,3,5,4,3,4,2,2,1,2,2,1,1,1,2,2,1,1,Female,44,African American or Black,,Moderate,Green Party,,-0.266189382,-1.923193026,0.441639137,1.4,1.5,1.666666667,50,54.28571429,52.5,2.5,4.5,3.5,4,4.5,3.055555556,4,4,2.5,3.5,Negative,-0.1081,-0.51508,-1.4989
R_1FLgrxK2LhjE7bz,Liberal,Simple,Fear,V5,S2,7,5,5,5,5,4,4,1,5,5,4,2,2,2,3,2,1,2,2,2,1,1,Male,59,Caucasian or White,,Moderately conservative,Republican Party,,-1.527461046,-0.286631671,1.139471999,2,1.75,2.333333333,68,77.14285714,73.33333333,4,3.5,4.5,2.5,5.5,2,5.333333333,1.75,6,4.25,Negative,1.02899,-0.55627,-0.45126
R_ehcP8XpsoPL0af7,Liberal,Complex,Neutral,V1,S4,7,7,7,7,7,5,4,4,6,7,4,2,1,1,1,1,3,1,1,3,1,1,Female,31,Hispanic or Latinx,,Moderately liberal,Other:,Independent,1.452560174,0.043176202,-0.022795765,1,1.25,3.333333333,62,32.85714286,45,3.5,3.5,5,4,3.5,3.388888889,5,4,7,5.875,Positive,-0.47264,-0.30819,0.22582
R_yjxYYyhQgM1kSWd,Liberal,Complex,Anger,V3,S4,5,5,6,6,4,4,6,5,6,6,3,1,1,1,1,1,3,1,1,5,2,1,Male,30,Caucasian or White,,Extremely conservative,Republican Party,,1.932495693,0.182926888,-0.241987771,1,1.25,3.666666667,90,92.85714286,91.66666667,6,6,7,7,4.5,4.5,5.166666667,1.75,5,5.375,Negative,-0.71208,-0.23306,0.40114
R_QgLGQbDs18b8kXn,Liberal,Simple,Neutral,V2,S1,7,6,6,6,6,6,7,5,6,7,4,1,1,1,1,1,3,1,1,4,1,1,Female,35,Caucasian or White,,Moderate,No party,,2.003946264,0.319955158,0.318070632,1,1,3.666666667,54,48.57142857,50.83333333,2.5,7,6.5,7,4,2,6,2.5,6.5,6.125,Positive,-0.41093,-0.65925,0.49803
R_1etOIxHhLlvbxA5,Liberal,Complex,Anger,V4,S4,6,5,5,4,5,5,4,2,6,5,2,3,3,2,1,3,1,3,2,2,1,2,Female,25,Caucasian or White,,Moderate,No party,,-2.834393375,-1.177391401,0.298533966,2.2,2.25,1.666666667,60,31.42857143,43.33333333,1,3.5,3,4,3,3.444444444,4.166666667,4,5.5,4.5,Negative,0.81342,0.27182,-1.27264
R_3m3JTtBfX8RU9vI,Conservative,Simple,Fear,V5,S5,7,7,6,6,6,6,6,6,6,6,4,1,1,1,1,1,3,1,1,3,2,1,Male,46,Asian American or Asian,,Moderate,No party,,1.613271469,0.140614607,-0.324482863,1,1.25,3.333333333,42,60,52.5,3,6.5,6,6,6,3.611111111,5.166666667,4.75,7,6,Negative,-0.6614,-0.10271,0.32924
R_exsemnFBE52B1ap,Conservative,Complex,Anger,V4,S8,6,6,1,1,1,1,1,1,1,1,3,1,1,1,4,5,1,1,1,5,1,1,Male,28,Caucasian or White,,Moderately liberal,No party,,-0.524259779,-0.208861847,2.869246588,2.4,1,3,48,21.42857143,32.5,6.5,5.5,6,6.5,6,4.222222222,4,2,6,1,Negative,1.62925,-2.09379,-0.30888
R_3GdpkL5Jhjacd6F,Conservative,Simple,Neutral,V1,S7,5,4,5,5,4,3,4,5,5,6,4,1,1,1,1,1,4,1,1,4,2,1,Male,26,Caucasian or White,,Moderately liberal,Democratic Party,,1.981235698,0.882880579,-0.484029548,1,1.25,4,48,14.28571429,28.33333333,4.5,3,2.5,4.5,3,2.555555556,4.333333333,3.25,4.5,4.625,Positive,-0.69982,0.02735,0.94261
R_21uH0395oOTJTFc,Liberal,Simple,Fear,V5,S3,6,6,6,6,6,6,6,6,6,6,4,2,1,1,3,1,2,3,2,1,1,3,Male,31,Caucasian or White,,Moderately liberal,Democratic Party,,-1.540287107,-0.129189824,1.080208348,2.2,1.5,2.333333333,46,75.71428571,63.33333333,6.5,5.5,5.5,6,6,2.333333333,4.833333333,3.25,6,6,Negative,1.03692,-0.4886,-0.33249
R_25FvUwaYP0YEwff,Conservative,Simple,Fear,V6,S6,5,4,3,3,4,4,3,3,3,3,3,1,2,1,1,1,1,2,4,1,1,3,Male,32,Caucasian or White,,Moderate,No party,,-1.389785715,-1.434076017,-0.484515627,1.6,2,1.666666667,66,54.28571429,59.16666667,2.5,5.5,6,1.5,5,2.777777778,4,2.75,4.5,3.25,Negative,-0.12206,0.50773,-1.25245
